date,case_count,percent
2023-12,3677,54.1054
2024-01,4262,53.0231
2024-02,4226,53.1773
2024-03,4239,51.8088
2024-04,4570,52.5892
2024-05,4475,51.9503
2024-06,3652,49.8294
2024-07,4236,50.682
2024-08,4093,49.7327
2024-09,3587,48.2124
2024-10,3873,47.656
2024-11,3752,53.7305
2024-12,4207,58.0036
2025-01,4838,57.1192
2025-02,2495,39.7927
2025-03,2762,36.6362
2025-04,2984,43.5303
2025-05,2797,41.5787
2025-06,2569,24.2176
2025-07,2551,40.0786
2025-08,2642,43.6478
2025-09,2285,39.4033
